,date,RATE,RATE_30days_ago,change,RATE_7days
0,2005-06-09,3.28,3.29,down,3.27
1,2005-06-10,3.29,3.3,down,3.27
2,2005-06-11,3.29,3.3,down,3.27
3,2005-06-12,3.29,3.3,down,3.27
4,2005-06-13,3.28,3.29,down,3.27
5,2005-06-14,3.29,3.29,down,3.2
6,2005-06-15,3.28,3.29,down,3.21
7,2005-06-16,3.27,3.29,down,3.27
8,2005-06-17,3.27,3.29,down,3.27
9,2005-06-18,3.27,3.29,down,3.27
10,2005-06-19,3.27,3.19,up,3.27
11,2005-06-20,3.27,3.23,up,3.27
12,2005-06-21,3.2,3.23,up,3.26
13,2005-06-22,3.21,3.23,up,3.26
14,2005-06-23,3.27,3.29,up,3.3
15,2005-06-24,3.27,3.29,down,3.26
16,2005-06-25,3.27,3.29,down,3.26
17,2005-06-26,3.27,3.29,down,3.26
18,2005-06-27,3.27,3.29,down,3.25
19,2005-06-28,3.26,3.29,down,3.23
20,2005-06-29,3.26,3.29,down,3.09
21,2005-06-30,3.3,3.29,down,3.03
22,2005-07-01,3.26,3.29,down,3.12
23,2005-07-02,3.26,3.28,down,3.12
24,2005-07-03,3.26,3.28,down,3.12
25,2005-07-04,3.25,3.21,same,3.21
26,2005-07-05,3.23,3.21,same,3.21
27,2005-07-06,3.09,3.21,up,3.27
28,2005-07-07,3.03,3.21,up,3.27
29,2005-07-08,3.12,3.2,up,3.26
30,2005-07-09,3.12,3.28,down,3.26
31,2005-07-10,3.12,3.28,down,3.26
32,2005-07-11,3.21,3.29,down,3.26
33,2005-07-12,3.21,3.29,down,3.27
34,2005-07-13,3.27,3.29,down,3.27
35,2005-07-14,3.27,3.28,down,3.21
36,2005-07-15,3.26,3.29,same,3.29
37,2005-07-16,3.26,3.28,up,3.29
38,2005-07-17,3.26,3.27,up,3.29
39,2005-07-18,3.26,3.27,up,3.28
40,2005-07-19,3.27,3.27,same,3.27
41,2005-07-20,3.27,3.27,same,3.27
42,2005-07-21,3.21,3.27,up,3.28
43,2005-07-22,3.29,3.2,up,3.27
44,2005-07-23,3.29,3.21,up,3.27
45,2005-07-24,3.29,3.27,same,3.27
46,2005-07-25,3.28,3.27,same,3.27
47,2005-07-26,3.27,3.27,same,3.27
48,2005-07-27,3.27,3.27,same,3.27
49,2005-07-28,3.28,3.27,same,3.27
50,2005-07-29,3.27,3.26,down,3.23
51,2005-07-30,3.27,3.26,down,3.23
